               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023729,            0.015951,           0.0012781,             0.59415,             0.86358,             0.87303,              0.6201,            0.016622,           0.0062731,          0.00065177,             0.00307,             0.00307,             0.00307
                  37,            0.025041,            0.015579,           0.0018195,             0.60667,             0.86138,             0.85102,             0.58474,            0.016574,           0.0064769,          0.00059421,            0.002872,            0.002872,            0.002872
                  38,            0.024922,            0.015204,           0.0017996,             0.59735,             0.85297,             0.85866,             0.58852,             0.01618,            0.006338,          0.00058915,            0.002674,            0.002674,            0.002674
                  39,            0.022861,            0.015056,           0.0011304,             0.59872,             0.85828,             0.85496,             0.58793,            0.015934,           0.0064096,          0.00059488,            0.002476,            0.002476,            0.002476
                  40,            0.021107,            0.014727,            0.001353,             0.68973,              0.8414,             0.87501,             0.62008,            0.014808,           0.0058525,          0.00054487,            0.002278,            0.002278,            0.002278
                  41,            0.022717,            0.014833,           0.0016731,             0.62213,             0.87827,             0.85373,             0.60366,            0.015319,           0.0061489,          0.00052305,             0.00208,             0.00208,             0.00208
                  42,            0.022495,            0.015547,           0.0015463,             0.65051,              0.8624,             0.85326,             0.59998,            0.014752,           0.0059683,           0.0004965,            0.001882,            0.001882,            0.001882
                  43,            0.022596,            0.014478,            0.001241,             0.68137,             0.85912,             0.89058,             0.65108,            0.014114,           0.0057118,          0.00048712,            0.001684,            0.001684,            0.001684
                  44,            0.022929,            0.014722,            0.001998,             0.61415,             0.87184,              0.8564,             0.62614,            0.014622,           0.0059507,          0.00048014,            0.001486,            0.001486,            0.001486
                  45,            0.018957,             0.01332,           0.0027147,             0.69014,             0.84391,              0.9059,             0.66826,            0.014601,            0.005792,          0.00047601,            0.001288,            0.001288,            0.001288
                  46,            0.022771,            0.014731,           0.0014617,             0.63156,             0.84747,             0.88013,             0.66288,            0.014316,           0.0061341,          0.00047175,             0.00109,             0.00109,             0.00109
                  47,            0.021019,            0.014303,           0.0014278,             0.63481,             0.85104,             0.85688,             0.64375,            0.014355,           0.0061682,          0.00045826,            0.000892,            0.000892,            0.000892
                  48,             0.02168,            0.013421,           0.0010785,             0.67157,             0.87109,             0.88565,             0.65924,            0.014051,           0.0059595,          0.00043652,            0.000694,            0.000694,            0.000694
                  49,            0.020776,            0.013676,            0.001119,             0.69901,              0.8656,             0.90512,             0.68669,            0.014237,           0.0058675,          0.00043296,            0.000496,            0.000496,            0.000496
